libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libe-book 0.1.4-1
libebml 1.4.5-3
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.2-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgtop 2.41.3-2
libgudev 238-3
libgweather-4 4.6.0-1
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libisl 0.28-1
libixion 0.20.0-8
libjpeg-turbo 3.2.0-2
libjuice 1.7.3-1
libjxl 0.12.0-1
libksba 1.8.0-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libluv 1.52.1-1
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatroska 1.7.2-2
libmd 1.2.0-1
libmilter 8.18.2-1
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpdclient 2.27-1
libmspack 1:1.11-2
libmspub 0.1.5-1
libmwaw 0.3.23-1
libmysofa 1.3.5-1
libndp 1.9-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.58.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libntfs-3g 2026.7.7-1
libnumbertext 1.0.11-3
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.8-1
liborcus 0.21.0-7
libp11-kit 0.26.5-1
libpagemaker 0.0.4-5
libpathrs 0.2.5-2
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplist 2.7.0-3
libpng 1.6.58-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libqxp 0.0.3-1
libraw1394 2.1.2-4
libreoffice-fresh 26.2.5-3
librevenge 0.0.6-1
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libsrtp 1:2.8.0-1
libssh 0.12.2-1
libssh2 1.11.1-7
libstaroffice 0.0.8-1
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsynctex 2026.0-2
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.2-5
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutf8proc 2.11.3-1
libuv 1.52.1-2
libva 2.24.1-1
libva-intel-driver 2.4.5-1
libvdpau 1.5-4
libverto 0.3.2-6
libvisio 0.1.11-1
libvlc 3.0.23_2-12
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.1-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
